algId,DIM,funcId,worst recorded,worst reached,best reached,mean reached,median reached,runs,succ,budget
"(1+10) EA_{r/2,2r}",625,5,267,562,562,562,562,11,11,14765
"(1+10) EA_{r/2,2r}",625,6,93,208,208,208,208,11,11,5672
"(1+10) EA_{r/2,2r}",625,7,300,576,594,584.0909090909091,583,11,1,1953125
"(1+10) EA_{r/2,2r}",625,8,153,314,314,314,314,11,11,603582
"(1+10) EA_{r/2,2r}",625,9,290,624,625,624.8181818181819,625,11,9,1953125
(1+10) EA_>0,625,1,295,625,625,625,625,11,11,9645
(1+10) EA_>0,625,10,285,474,504,484.90909090909093,484,11,1,1953125
(1+10) EA_>0,625,11,0,312,312,312,312,11,11,92442
(1+10) EA_>0,625,12,0,562,562,562,562,11,11,196861
(1+10) EA_>0,625,13,0,208,208,208,208,11,11,84606
(1+10) EA_>0,625,14,0,3,114,28.363636363636363,7,11,1,1953125
(1+10) EA_>0,625,15,1,314,314,314,314,11,11,394378
(1+10) EA_>0,625,16,0,625,625,625,625,11,11,619940
(1+10) EA_>0,625,17,3,399,564,480.3636363636364,474,11,1,1953125
(1+10) EA_>0,625,18,0.910548,3.80311,4.49201,4.102232727272727,4.10804,11,1,1953125
(1+10) EA_>0,625,2,0,625,625,625,625,11,11,256375
(1+10) EA_>0,625,22,-229295,268,282,273.27272727272725,272,11,1,1953125
(1+10) EA_>0,625,23,-29664,24,25,24.545454545454547,25,11,6,1953125
(1+10) EA_>0,625,3,93104,195625,195625,195625,195625,11,11,10664
(1+10) EA_>0,625,4,147,312,312,312,312,11,11,4615
(1+10) EA_>0,625,5,266,562,562,562,562,11,11,7736
(1+10) EA_>0,625,6,91,208,208,208,208,11,11,8325
(1+10) EA_>0,625,7,303,574,595,584.4545454545455,586,11,1,1953125
(1+10) EA_>0,625,8,145,314,314,314,314,11,11,159562
(1+10) EA_>0,625,9,283,625,625,625,625,11,11,1366202
(1+10) EA_logNormal,625,1,295,625,625,625,625,11,11,14210
(1+10) EA_logNormal,625,10,295,489,534,514,519,11,2,1953125
(1+10) EA_logNormal,625,11,0,312,312,312,312,11,11,80713
(1+10) EA_logNormal,625,12,0,562,562,562,562,11,11,201741
(1+10) EA_logNormal,625,13,0,208,208,208,208,11,11,60374
(1+10) EA_logNormal,625,14,0,11,88,42.18181818181818,43,11,1,1953125
